,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2016-04-29,0.5868,0.765,0.9579,1.1446,1.315,1.4658,1.5969,1.7102,1.808,1.8931,1.968,2.0349,2.0957,2.152,2.205,2.2557,2.3049,2.3532,2.4009,2.4483,2.4958,2.5433,2.591,2.6389,2.687,2.7353,2.7837,2.8321,2.8806,2.929,6.34354998,-5.88056732,-3.68040307,-9.14350373,2.467394,12.37678286
2016-04-28,0.5812,0.775,0.9706,1.1549,1.3218,1.4697,1.5993,1.7122,1.8109,1.8977,1.9748,2.0443,2.1077,2.1666,2.2221,2.2751,2.3264,2.3764,2.4256,2.4744,2.5228,2.5712,2.6195,2.6678,2.7161,2.7645,2.8128,2.8612,2.9094,2.9575,6.32185892,-5.90754101,-3.278863,-8.86664717,2.64872979,12.46877171
2016-04-27,0.6114,0.8271,1.0281,1.2102,1.3721,1.5147,1.6397,1.7491,1.8453,1.9305,2.0065,2.0753,2.1383,2.1968,2.2519,2.3044,2.3551,2.4044,2.4529,2.5008,2.5484,2.5959,2.6433,2.6908,2.7383,2.786,2.8338,2.8816,2.9295,2.9774,6.66501579,-6.27485819,-2.79715897,-9.49297375,3.02306564,13.32770653
2016-04-26,0.6033,0.8486,1.0683,1.2626,1.433,1.5815,1.7107,1.8231,1.9211,2.0071,2.0832,2.1511,2.2126,2.269,2.3215,2.3711,2.4187,2.4649,2.5103,2.5552,2.6001,2.6453,2.6908,2.7369,2.7836,2.831,2.8791,2.928,2.9775,3.0277,8.47889439,-8.14465349,-2.97856283,-13.80966443,3.60433914,15.80226159
2016-04-25,0.5931,0.827,1.0417,1.2342,1.4039,1.5521,1.6807,1.7922,1.8891,1.9737,2.0483,2.1148,2.175,2.2304,2.2821,2.3311,2.3784,2.4246,2.4702,2.5156,2.5611,2.6069,2.6532,2.7001,2.7477,2.796,2.8449,2.8944,2.9446,2.9954,7.90126201,-7.55378957,-3.20025056,-12.64534493,3.22427185,14.78509213
2016-04-22,0.5813,0.8158,1.0301,1.2217,1.3905,1.5378,1.6656,1.7763,1.8725,1.9564,2.0303,2.0962,2.1557,2.2104,2.2614,2.3099,2.3565,2.4021,2.4471,2.492,2.5371,2.5826,2.6288,2.6756,2.7231,2.7715,2.8207,2.8706,2.9213,2.9726,8.20182521,-7.86872551,-3.25281585,-13.46269205,3.31358046,15.12978888
2016-04-21,0.564,0.8049,1.0185,1.2066,1.3714,1.5155,1.6414,1.7516,1.8484,1.9339,2.0101,2.0787,2.141,2.1983,2.2519,2.3025,2.3509,2.3978,2.4436,2.4889,2.534,2.579,2.6243,2.67,2.7162,2.7629,2.8102,2.8581,2.9066,2.9558,8.48891075,-8.19423119,-2.65493656,-13.79481725,3.92465824,16.33281604
2016-04-20,0.5574,0.7911,1.0015,1.1885,1.3532,1.4974,1.6233,1.7332,1.8293,1.9138,1.9887,2.0558,2.1165,2.1723,2.2243,2.2735,2.3207,2.3666,2.4117,2.4564,2.5011,2.5461,2.5916,2.6377,2.6845,2.732,2.7803,2.8294,2.8793,2.93,8.6474626,-8.34489621,-3.07774646,-14.46347762,3.69055554,16.08367743
2016-04-19,0.562,0.7595,0.9511,1.1295,1.2912,1.4352,1.5619,1.6727,1.7693,1.8539,1.9282,1.9942,2.0536,2.1078,2.1582,2.2058,2.2515,2.2962,2.3404,2.3846,2.4292,2.4744,2.5205,2.5676,2.6158,2.6651,2.7156,2.7672,2.8199,2.8736,9.11887218,-8.74717754,-4.12737824,-16.10042692,3.36892207,15.93228682
2016-04-18,0.5419,0.7371,0.9275,1.1056,1.2677,1.4125,1.5403,1.6524,1.7504,1.8362,1.9117,1.9788,2.0392,2.0942,2.1452,2.1934,2.2395,2.2845,2.3289,2.3733,2.4179,2.4632,2.5093,2.5564,2.6045,2.6538,2.7043,2.7559,2.8086,2.8624,9.26858007,-8.91326954,-4.23151194,-16.4709527,3.41028866,16.13405115
2016-04-15,0.5564,0.7337,0.9145,1.0881,1.2484,1.3928,1.5208,1.633,1.7309,1.8163,1.8911,1.957,2.016,2.0695,2.119,2.1656,2.2103,2.2541,2.2975,2.3411,2.3854,2.4306,2.477,2.5248,2.5741,2.6249,2.6772,2.7311,2.7864,2.8432,10.15641936,-9.75554375,-4.92899333,-18.94581969,3.39302511,16.4683486
2016-04-14,0.5675,0.7659,0.9552,1.1306,1.2899,1.4324,1.5586,1.6697,1.7672,1.8529,1.9286,1.9958,2.0561,2.1111,2.1619,2.2096,2.2553,2.2997,2.3435,2.3872,2.4313,2.4762,2.5222,2.5693,2.6179,2.6679,2.7195,2.7726,2.8272,2.8834,11.13567879,-10.7671823,-4.65660158,-21.04351422,3.85434648,17.60930203
2016-04-13,0.5782,0.7522,0.928,1.097,1.2543,1.3972,1.5252,1.6386,1.7385,1.8262,1.9033,1.9715,2.0324,2.0875,2.1381,2.1855,2.2306,2.2744,2.3176,2.3609,2.4048,2.4496,2.4958,2.5436,2.5931,2.6445,2.6977,2.753,2.8102,2.8693,12.51058788,-12.09079883,-5.72981631,-24.7179408,3.8492678,18.12166535
2016-04-12,0.5897,0.7484,0.9206,1.0921,1.2544,1.4032,1.5367,1.6547,1.7582,1.8485,1.9274,1.9968,2.0584,2.1138,2.1645,2.2119,2.257,2.3007,2.3439,2.3873,2.4312,2.4761,2.5224,2.5702,2.6197,2.671,2.7241,2.7791,2.8359,2.8944,11.46579238,-10.99838717,-5.8717775,-22.16915847,3.48476158,17.2688654
2016-04-11,0.5616,0.7122,0.8761,1.0407,1.1981,1.3441,1.4766,1.5951,1.7,1.7926,1.8742,1.9463,2.0106,2.0684,2.1213,2.1704,2.2168,2.2615,2.3054,2.349,2.393,2.4378,2.4837,2.5311,2.5801,2.6308,2.6835,2.738,2.7945,2.8528,12.52780039,-12.08388584,-6.28527801,-24.79652356,3.75586214,18.24518929
2016-04-08,0.5593,0.7083,0.8718,1.0362,1.1935,1.3392,1.4711,1.5888,1.6928,1.7843,1.8648,1.9358,1.999,2.0558,2.1077,2.156,2.2018,2.2459,2.2892,2.3325,2.3762,2.4207,2.4664,2.5137,2.5626,2.6132,2.6658,2.7202,2.7766,2.8348,12.20738052,-11.76179192,-6.20113105,-24.08677315,3.6772402,17.99294136
2016-04-07,0.5685,0.7074,0.8644,1.0246,1.1792,1.3229,1.4533,1.5697,1.6726,1.763,1.8424,1.9124,1.9746,2.0306,2.0816,2.1291,2.1741,2.2175,2.2602,2.3028,2.3459,2.39,2.4352,2.482,2.5304,2.5806,2.6327,2.6867,2.7426,2.8004,11.97697347,-11.5063771,-6.24017979,-23.63341088,3.61369612,17.8599613
2016-04-06,0.5957,0.7501,0.9171,1.0836,1.2418,1.3873,1.5186,1.6352,1.738,1.8283,1.9076,1.9776,2.04,2.0962,2.1476,2.1956,2.2412,2.2852,2.3285,2.3717,2.4152,2.4596,2.5051,2.552,2.6004,2.6504,2.702,2.7554,2.8105,2.8673,11.33904552,-10.86444927,-5.74693442,-21.78931012,3.56942584,17.51727957
2016-04-05,0.5875,0.7305,0.892,1.0561,1.2131,1.3578,1.4881,1.6034,1.7046,1.793,1.8703,1.9382,1.9985,2.0528,2.1026,2.1491,2.1935,2.2366,2.2793,2.3221,2.3656,2.4101,2.456,2.5035,2.5526,2.6035,2.6561,2.7106,2.7669,2.8248,11.09571898,-10.60689001,-5.87791921,-21.44144723,3.41108694,17.06315078
2016-04-04,0.5925,0.7514,0.9236,1.0947,1.2564,1.4044,1.537,1.6542,1.7569,1.8467,1.9253,1.9945,2.0561,2.1117,2.1627,2.2103,2.2557,2.2998,2.3432,2.3867,2.4306,2.4755,2.5214,2.5687,2.6174,2.6677,2.7196,2.7731,2.8282,2.8848,10.6291119,-10.15903027,-5.49570099,-20.0135408,3.397777,16.88520157
2016-04-01,0.6119,0.7674,0.9402,1.1133,1.2771,1.4265,1.5598,1.677,1.779,1.8678,1.9451,2.0129,2.0731,2.1274,2.1773,2.2241,2.2689,2.3126,2.3559,2.3993,2.4435,2.4886,2.535,2.5828,2.6322,2.6831,2.7357,2.7898,2.8454,2.9025,10.2177924,-9.71646265,-5.46980446,-19.04501586,3.22729498,16.34054136
2016-03-31,0.5983,0.7329,0.9011,1.0773,1.2469,1.4026,1.5413,1.6625,1.7676,1.8582,1.9366,2.005,2.0656,2.1201,2.1702,2.2173,2.2625,2.3068,2.3508,2.3952,2.4403,2.4865,2.5341,2.583,2.6335,2.6855,2.739,2.794,2.8504,2.9081,9.58773656,-9.04800745,-5.72549812,-17.56795656,2.94063329,15.56354893
2016-03-30,0.6058,0.7615,0.944,1.1291,1.3035,1.4611,1.5996,1.7195,1.8225,1.9108,1.9869,2.0532,2.1118,2.1646,2.2134,2.2593,2.3036,2.3471,2.3905,2.4343,2.479,2.5246,2.5716,2.6199,2.6696,2.7208,2.7733,2.8272,2.8823,2.9386,9.04783201,-8.52942522,-5.3039074,-16.15104798,2.84014844,15.10979129
2016-03-29,0.603,0.7872,0.9759,1.1562,1.3212,1.4681,1.5966,1.7078,1.8036,1.8861,1.9576,2.0203,2.0759,2.1264,2.1731,2.2172,2.2598,2.3017,2.3435,2.3858,2.4289,2.4731,2.5186,2.5655,2.6138,2.6637,2.715,2.7677,2.8218,2.8772,9.35055351,-8.90425919,-4.69737329,-16.98419076,3.11894312,15.65912168
2016-03-28,0.6596,0.8716,1.0715,1.2539,1.4164,1.5589,1.6826,1.7891,1.8808,1.9597,2.0282,2.0883,2.1417,2.1901,2.2349,2.2772,2.318,2.3582,2.3984,2.439,2.4805,2.5232,2.5672,2.6128,2.66,2.7089,2.7594,2.8115,2.8651,2.9203,10.13284637,-9.68643452,-4.29985191,-18.77270144,3.4575296,16.45774401
2016-03-24,0.6741,0.8778,1.0778,1.2637,1.4305,1.5769,1.7033,1.8116,1.9039,1.9828,2.0506,2.1097,2.162,2.2093,2.253,2.2945,2.3347,2.3744,2.4143,2.4549,2.4966,2.5395,2.584,2.63,2.6777,2.727,2.778,2.8305,2.8845,2.9399,9.55231783,-9.06694938,-4.50376454,-17.4319899,3.13720102,15.69529984
2016-03-23,0.6612,0.8585,1.0549,1.2389,1.405,1.5512,1.6777,1.786,1.8784,1.9572,2.0249,2.0837,2.1357,2.1826,2.2261,2.2673,2.3072,2.3469,2.3868,2.4275,2.4694,2.5128,2.5579,2.6047,2.6533,2.7037,2.7559,2.8099,2.8655,2.9226,9.94921313,-9.46579841,-4.77022182,-18.5484916,3.15743649,15.84107557
2016-03-22,0.6757,0.8955,1.1046,1.2957,1.4658,1.6144,1.7425,1.8522,1.9457,2.0256,2.0943,2.154,2.2068,2.2543,2.2982,2.3397,2.3799,2.4195,2.4594,2.5,2.5418,2.585,2.6299,2.6766,2.7252,2.7757,2.828,2.8822,2.9382,2.9958,10.58402412,-10.1252967,-4.63957044,-19.90275508,3.35420367,16.34527889
2016-03-21,0.6579,0.8706,1.0744,1.2624,1.4313,1.5805,1.7106,1.8232,1.9203,2.0043,2.0772,2.1411,2.1979,2.2492,2.2965,2.341,2.3838,2.4257,2.4674,2.5094,2.5522,2.5961,2.6413,2.688,2.7363,2.7862,2.8378,2.8911,2.9459,3.0023,10.50982682,-10.06096039,-4.61145768,-19.4887119,3.4611763,16.62179297
2016-03-18,0.6595,0.843,1.0356,1.2211,1.3908,1.5412,1.6719,1.7839,1.8795,1.961,2.0309,2.0917,2.1454,2.194,2.239,2.2818,2.3234,2.3646,2.4062,2.4487,2.4924,2.5376,2.5845,2.6331,2.6836,2.7358,2.7898,2.8454,2.9026,2.9613,9.79231647,-9.27851644,-5.07419153,-18.11906313,3.00537815,15.44869597
2016-03-17,0.6788,0.8723,1.0714,1.2603,1.4309,1.5805,1.7091,1.8185,1.9109,1.9893,2.0562,2.1143,2.1656,2.2121,2.2555,2.2968,2.3374,2.3778,2.4188,2.4609,2.5043,2.5493,2.596,2.6445,2.6948,2.7469,2.8007,2.8561,2.913,2.9713,9.42254874,-8.90267952,-4.83104709,-17.23438878,2.90814913,15.05432567
2016-03-16,0.6967,0.8814,1.0834,1.2783,1.4547,1.6083,1.7393,1.8498,1.9426,2.0211,2.0882,2.1466,2.1987,2.2463,2.291,2.334,2.3762,2.4182,2.4607,2.504,2.5482,2.5936,2.6402,2.688,2.7369,2.787,2.8382,2.8902,2.9431,2.9967,7.74160198,-7.1666145,-4.45887544,-12.86801085,2.50678281,13.60124163
2016-03-15,0.7342,0.9739,1.1898,1.3791,1.5418,1.6801,1.7969,1.8953,1.9784,2.0492,2.1104,2.1642,2.2126,2.2572,2.2992,2.3397,2.3797,2.4196,2.46,2.5013,2.5437,2.5873,2.6322,2.6785,2.7261,2.7751,2.8253,2.8767,2.9291,2.9825,8.33871824,-7.85975126,-3.30714111,-14.27693694,3.03592257,14.52674443
2016-03-14,0.7325,0.9691,1.1824,1.3704,1.5334,1.6733,1.7926,1.8941,1.9805,2.0545,2.1186,2.1748,2.2251,2.2711,2.3141,2.3552,2.3953,2.4351,2.4751,2.5159,2.5576,2.6006,2.645,2.6908,2.7381,2.787,2.8373,2.889,2.942,2.9964,9.30400007,-8.82571125,-3.54104116,-16.54704128,3.34665603,15.61665956
2016-03-11,0.7455,0.9715,1.1824,1.3717,1.5374,1.6799,1.8013,1.9042,1.9913,2.0656,2.1295,2.1854,2.2352,2.2808,2.3234,2.3643,2.4042,2.444,2.4842,2.5252,2.5673,2.6107,2.6555,2.7017,2.7495,2.7986,2.8492,2.9012,2.9543,3.0086,8.8283186,-8.31072636,-3.80651702,-15.44885507,3.05166734,14.96745549
2016-03-10,0.7023,0.9367,1.1494,1.3376,1.5012,1.6415,1.7609,1.862,1.9477,2.0207,2.0834,2.1381,2.1867,2.2309,2.2722,2.3116,2.3503,2.3888,2.4279,2.4679,2.5093,2.5523,2.5971,2.6436,2.6921,2.7424,2.7946,2.8485,2.9041,2.9614,10.14986139,-9.69659938,-3.96113984,-18.91784704,3.40047497,16.0099733
2016-03-09,0.7,0.9029,1.0987,1.2795,1.4415,1.5839,1.7072,1.8132,1.9039,1.9817,2.0488,2.1074,2.1593,2.2064,2.2501,2.2915,2.3317,2.3717,2.4119,2.453,2.4953,2.5391,2.5847,2.6321,2.6815,2.7328,2.786,2.8411,2.898,2.9566,10.64118827,-10.13647683,-4.72646329,-20.16232046,3.3708353,16.31468024
2016-03-08,0.6843,0.881,1.0687,1.2415,1.3965,1.5333,1.6525,1.7557,1.845,1.9223,1.9897,2.0491,2.1023,2.1507,2.1958,2.2387,2.2802,2.3212,2.3622,2.4039,2.4465,2.4903,2.5356,2.5824,2.6309,2.6811,2.733,2.7864,2.8415,2.8981,10.22694851,-9.73695854,-4.37496757,-19.06818032,3.48725135,16.40705904
2016-03-07,0.6999,0.9192,1.1238,1.3085,1.4716,1.6135,1.7357,1.8404,1.93,2.0069,2.0735,2.1319,2.184,2.2313,2.2754,2.3172,2.3579,2.3981,2.4385,2.4795,2.5215,2.5648,2.6095,2.6558,2.7037,2.7532,2.8042,2.8569,2.911,2.9665,9.76399323,-9.28811944,-4.06794304,-17.79392279,3.35285427,15.96360549
2016-03-04,0.7013,0.8881,1.0824,1.2673,1.4346,1.5814,1.7079,1.816,1.908,1.9867,2.0547,2.1144,2.1678,2.2166,2.2624,2.3062,2.3491,2.3916,2.4343,2.4776,2.5218,2.567,2.6134,2.661,2.7098,2.7597,2.8106,2.8626,2.9155,2.9692,8.03700743,-7.48402522,-4.23772952,-13.55310044,2.73757561,14.13676519
2016-03-03,0.6758,0.8498,1.0355,1.2152,1.3797,1.5254,1.6517,1.7599,1.8522,1.9309,1.9987,2.0578,2.1104,2.1583,2.203,2.2457,2.2875,2.3291,2.371,2.4139,2.4578,2.5032,2.5501,2.5986,2.6486,2.7002,2.7533,2.8078,2.8636,2.9206,8.96892558,-8.42386144,-4.76273908,-16.12883452,2.87321825,14.84273675
2016-03-02,0.6985,0.8598,1.0431,1.2246,1.3921,1.5407,1.6692,1.7791,1.8725,1.9522,2.0209,2.081,2.1347,2.1838,2.2299,2.2742,2.3175,2.3607,2.4043,2.4487,2.4941,2.5407,2.5886,2.6379,2.6885,2.7403,2.7934,2.8475,2.9026,2.9586,8.22269891,-7.62061005,-4.71901189,-14.16201319,2.65096589,14.0382111
2016-03-01,0.6965,0.8496,1.0242,1.1991,1.363,1.5108,1.6411,1.7544,1.8525,1.9376,2.0119,2.0776,2.1366,2.1906,2.241,2.289,2.3354,2.3812,2.4267,2.4725,2.5188,2.5659,2.6138,2.6628,2.7127,2.7636,2.8154,2.8681,2.9216,2.9758,8.08722726,-7.48551363,-4.58544466,-13.50821341,2.78574573,14.28800214
2016-02-29,0.6632,0.7899,0.947,1.111,1.2685,1.413,1.542,1.6554,1.7544,1.8408,1.9166,1.9837,2.044,2.0992,2.1505,2.1991,2.2461,2.292,2.3375,2.383,2.4289,2.4754,2.5226,2.5707,2.6196,2.6694,2.7201,2.7715,2.8237,2.8766,7.91602646,-7.30855461,-4.73263493,-13.22787861,2.80634389,14.44445979
2016-02-26,0.6515,0.8012,0.9661,1.1311,1.2874,1.4307,1.559,1.6725,1.7721,1.8592,1.9357,2.0032,2.0637,2.1185,2.169,2.2166,2.2622,2.3066,2.3506,2.3946,2.4392,2.4847,2.5313,2.5791,2.6284,2.679,2.7311,2.7847,2.8397,2.896,9.99887915,-9.45714866,-5.22923415,-18.4024205,3.29509695,16.34177125
2016-02-25,0.6012,0.7259,0.8824,1.0476,1.2082,1.3568,1.4904,1.6083,1.7111,1.8005,1.8783,1.9465,2.007,2.0617,2.1119,2.1591,2.2045,2.2488,2.2928,2.3372,2.3824,2.4287,2.4763,2.5255,2.5762,2.6287,2.6827,2.7384,2.7956,2.8543,10.10412267,-9.55850773,-5.87170492,-18.97478652,3.09502819,16.02750553
2016-02-24,0.6132,0.7607,0.9299,1.1012,1.2633,1.411,1.542,1.6566,1.7559,1.8418,1.9165,1.9819,2.0401,2.0928,2.1415,2.1874,2.2317,2.2753,2.3187,2.3627,2.4074,2.4533,2.5006,2.5494,2.5997,2.6516,2.705,2.76,2.8164,2.8742,9.67060099,-9.15055998,-5.36134788,-17.84841856,3.05805096,15.682321
2016-02-23,0.6204,0.7583,0.9249,1.0963,1.2594,1.4078,1.539,1.6531,1.7515,1.8363,1.9098,1.974,2.0312,2.083,2.131,2.1765,2.2206,2.264,2.3075,2.3515,2.3965,2.4425,2.4899,2.5388,2.5891,2.6408,2.694,2.7485,2.8044,2.8613,9.03691711,-8.48527354,-5.28186414,-16.34056461,2.87713765,15.08377807
2016-02-22,0.6201,0.778,0.9523,1.1254,1.2876,1.4342,1.5638,1.6768,1.7746,1.8592,1.9327,1.9973,2.0548,2.1069,2.1552,2.201,2.2451,2.2885,2.3319,2.3757,2.4203,2.4661,2.5132,2.5617,2.6117,2.6632,2.7161,2.7706,2.8263,2.8834,9.44928794,-8.94086691,-5.09269301,-17.24534085,3.0587078,15.55035623
2016-02-19,0.6067,0.7666,0.9419,1.1152,1.2773,1.4236,1.5529,1.6656,1.7633,1.8477,1.9212,1.9858,2.0433,2.0956,2.1441,2.19,2.2344,2.2781,2.3218,2.3659,2.4109,2.4571,2.5046,2.5535,2.6039,2.6559,2.7094,2.7643,2.8206,2.8782,9.50542409,-9.0146371,-5.08082757,-17.40623572,3.07386029,15.54975103
2016-02-18,0.583,0.7306,0.9044,1.0817,1.2497,1.4022,1.5371,1.6544,1.7556,1.8427,1.918,1.9839,2.0423,2.0952,2.144,2.1903,2.235,2.2791,2.3232,2.3678,2.4135,2.4603,2.5087,2.5585,2.61,2.6631,2.7177,2.7739,2.8315,2.8904,9.55693239,-9.056973,-5.49079827,-17.60710232,2.94421264,15.3612535
2016-02-17,0.5885,0.7715,0.9588,1.1392,1.3065,1.4578,1.5923,1.7104,1.8136,1.9035,1.9821,2.0511,2.1125,2.1678,2.2185,2.2659,2.3111,2.3549,2.3982,2.4415,2.4853,2.5301,2.576,2.6234,2.6723,2.7229,2.7751,2.829,2.8846,2.9418,11.04510041,-10.616952,-5.35550199,-20.91858621,3.49980151,17.11476368
2016-02-16,0.5815,0.7563,0.9364,1.1111,1.2742,1.4226,1.5552,1.6722,1.7747,1.8642,1.9424,2.0111,2.072,2.1267,2.1767,2.2233,2.2676,2.3107,2.3532,2.3959,2.4393,2.4839,2.5299,2.5777,2.6274,2.6791,2.733,2.7889,2.8469,2.907,12.74714108,-12.31806162,-6.06023103,-25.37371203,3.73233648,17.9977253
2016-02-12,0.5709,0.7362,0.9122,1.0852,1.2477,1.3954,1.5271,1.6427,1.7434,1.8307,1.9066,1.973,2.0316,2.0843,2.1325,2.1775,2.2207,2.2628,2.3048,2.3472,2.3907,2.4355,2.4821,2.5306,2.5812,2.6339,2.6888,2.7459,2.8052,2.8665,12.26169675,-11.8237991,-6.11042505,-24.42638698,3.53284039,17.40588616
2016-02-11,0.5427,0.6765,0.8336,0.995,1.1499,1.2926,1.4207,1.5339,1.6333,1.7202,1.7964,1.8639,1.9244,1.9793,2.0302,2.0782,2.1243,2.1694,2.214,2.2588,2.3041,2.3502,2.3973,2.4456,2.4952,2.546,2.5981,2.6515,2.7061,2.7618,9.1581257,-8.69519443,-5.1568144,-16.64946983,3.11060506,15.69162476
2016-02-10,0.6013,0.7259,0.8799,1.0424,1.2007,1.3482,1.4815,1.5997,1.7034,1.7938,1.8725,1.9415,2.0024,2.057,2.1067,2.1529,2.1966,2.2389,2.2805,2.3219,2.3638,2.4065,2.4503,2.4954,2.5419,2.59,2.6395,2.6907,2.7433,2.7975,10.15000742,-9.61066453,-5.84464493,-19.07907208,3.22132012,16.75842785
2016-02-09,0.574,0.7203,0.8829,1.0484,1.208,1.3569,1.4926,1.6141,1.7218,1.8165,1.8995,1.9724,2.0367,2.0939,2.1454,2.1926,2.2365,2.2783,2.3187,2.3586,2.3986,2.4392,2.4808,2.5238,2.5683,2.6146,2.6628,2.713,2.7653,2.8196,13.19767905,-12.73280346,-6.76221694,-26.61399938,3.83749019,19.10567106
2016-02-08,0.5883,0.7016,0.8605,1.0339,1.204,1.3615,1.5025,1.6262,1.7334,1.8259,1.906,1.9757,2.0372,2.0923,2.1426,2.1895,2.2341,2.2773,2.3198,2.3622,2.4049,2.4483,2.4924,2.5375,2.5837,2.631,2.6794,2.7288,2.7792,2.8306,8.41291747,-7.83990214,-5.50511886,-14.60978048,2.7807253,15.27583445
2016-02-05,0.6146,0.7644,0.9411,1.1232,1.2979,1.4588,1.6029,1.7298,1.8403,1.9361,2.0192,2.0916,2.1552,2.212,2.2635,2.3111,2.3561,2.3993,2.4416,2.4837,2.526,2.569,2.6129,2.6579,2.7043,2.752,2.8012,2.8518,2.9038,2.9571,9.94035518,-9.4135577,-5.74069522,-18.11394887,3.1245211,16.55124949
2016-02-04,0.6091,0.7482,0.9264,1.115,1.2975,1.4654,1.615,1.7458,1.8587,1.9558,2.0391,2.1112,2.1743,2.2302,2.2808,2.3277,2.3719,2.4145,2.4564,2.4982,2.5404,2.5833,2.6273,2.6725,2.719,2.7669,2.8163,2.867,2.919,2.9724,9.51052926,-8.95373347,-5.93062815,-17.09656723,2.90303299,16.00433087
2016-02-03,0.6053,0.7554,0.9396,1.1308,1.3138,1.481,1.6295,1.759,1.8707,1.9668,2.0496,2.1214,2.1844,2.2405,2.2914,2.3385,2.383,2.4258,2.4678,2.5095,2.5513,2.5937,2.6368,2.6808,2.7259,2.772,2.8193,2.8676,2.917,2.9674,8.69647651,-8.16153561,-5.40125169,-14.9299222,2.83605816,15.62213885
2016-02-02,0.6279,0.775,0.9564,1.1441,1.3228,1.4852,1.6284,1.7526,1.8593,1.9507,2.0293,2.0974,2.1573,2.2108,2.2596,2.3052,2.3486,2.3907,2.4322,2.4738,2.5157,2.5583,2.6018,2.6463,2.692,2.7387,2.7866,2.8356,2.8856,2.9365,8.42996629,-7.86748604,-5.23739261,-14.4296566,2.75595851,15.17303572
2016-02-01,0.6649,0.8435,1.0428,1.2404,1.4242,1.589,1.7333,1.8579,1.9647,2.0563,2.1352,2.2037,2.264,2.3181,2.3675,2.4136,2.4575,2.5001,2.542,2.5837,2.6257,2.6682,2.7114,2.7555,2.8005,2.8465,2.8935,2.9414,2.9901,3.0397,8.20462644,-7.65822471,-4.77936049,-13.52024984,2.77158108,15.02170833
2016-01-29,0.6346,0.8053,0.9984,1.1923,1.3751,1.541,1.6878,1.8159,1.9266,2.0221,2.1047,2.1765,2.2396,2.296,2.3472,2.3946,2.4394,2.4825,2.5246,2.5663,2.6081,2.6504,2.6933,2.7371,2.7818,2.8276,2.8745,2.9224,2.9714,3.0213,8.78457059,-8.26175181,-5.10100074,-14.95300411,2.93454268,15.79068946
2016-01-28,0.6518,0.8592,1.0671,1.2646,1.4459,1.6083,1.7516,1.8766,1.985,2.0788,2.16,2.2308,2.293,2.3484,2.3985,2.4447,2.488,2.5295,2.5699,2.6098,2.6497,2.6901,2.7313,2.7734,2.8167,2.8612,2.907,2.9541,3.0026,3.0524,10.02142827,-9.55772176,-4.89646559,-17.93108271,3.36236742,17.12956087
2016-01-27,0.6639,0.8788,1.0908,1.29,1.4714,1.633,1.7748,1.8981,2.0047,2.0968,2.1764,2.2458,2.3068,2.3612,2.4106,2.4562,2.4991,2.5403,2.5805,2.6204,2.6603,2.7008,2.7421,2.7844,2.8278,2.8725,2.9184,2.9657,3.0143,3.0641,9.84023649,-9.3770123,-4.69120487,-17.46174448,3.3397497,16.91415348
2016-01-26,0.6642,0.8818,1.0961,1.2965,1.4779,1.6386,1.7788,1.9,2.0043,2.0941,2.1717,2.2392,2.2987,2.352,2.4004,2.4453,2.4878,2.5287,2.5687,2.6084,2.6482,2.6885,2.7295,2.7714,2.8143,2.8582,2.9032,2.9493,2.9965,3.0447,8.89552694,-8.4333806,-4.31536448,-15.1263718,3.15162762,16.1570806
2016-01-25,0.6593,0.899,1.1212,1.3224,1.5015,1.6589,1.796,1.9148,2.0176,2.1065,2.1836,2.2511,2.3107,2.364,2.4125,2.4574,2.4996,2.5401,2.5796,2.6186,2.6577,2.6972,2.7373,2.7784,2.8205,2.8638,2.9083,2.9541,3.0011,3.0493,9.95851823,-9.54887742,-4.05258375,-17.66147879,3.62453365,17.40951328
2016-01-22,0.6578,0.9038,1.1339,1.3429,1.5288,1.6916,1.8328,1.9545,2.059,2.1487,2.226,2.2932,2.3521,2.4046,2.452,2.4958,2.537,2.5764,2.6149,2.6529,2.691,2.7296,2.7689,2.8091,2.8504,2.8928,2.9364,2.9813,3.0274,3.0746,9.53154737,-9.1250264,-4.09979136,-16.61123686,3.40489617,16.97808159
2016-01-21,0.653,0.8756,1.0925,1.2949,1.4784,1.6415,1.7843,1.9082,2.0151,2.1071,2.1865,2.2553,2.3155,2.369,2.4171,2.4613,2.5028,2.5424,2.5809,2.6191,2.6574,2.6961,2.7358,2.7765,2.8184,2.8616,2.9063,2.9524,2.9999,3.0488,10.24844231,-9.80846664,-4.77151943,-18.55377328,3.43011122,17.39371494
2016-01-20,0.6402,0.8743,1.0941,1.2951,1.4753,1.6346,1.774,1.8952,2.0001,2.0909,2.1697,2.2383,2.2986,2.3523,2.4008,2.4452,2.4868,2.5264,2.5647,2.6024,2.6401,2.678,2.7166,2.7561,2.7966,2.8384,2.8814,2.9257,2.9715,3.0185,10.38071748,-9.9803468,-4.36510121,-18.80298358,3.68977202,17.99282012
